# Источник импорта реестра CS (Ф4e). Фактический список Богдана 2026-05-29.
# platform	status	name	city	country
# platform: macrosales | macroerp ; status: A1..A6 / B0..B6 / C0 / C1 (C1→C0 при импорте) / "" нет
# Блок 1 — MacroSales ЦА (сопровождение)
macrosales	A1	GOLDEN HOUSE	Ташкент	uz
macrosales	A1	Capital Invest Construction	Алматы	kz
macrosales	A1	Tau Development	Алматы	kz
macrosales	A1	Шар-Құрылыс	Астана	kz
macrosales	A1	OKS Development	Шымкент	kz
macrosales	A1	Imperial Club City	Ташкент	uz
macrosales	A1	Celebrity	Ташкент	uz
macrosales		Oqtosh Avenue Resort	Ташкент	uz
macrosales	A1	SDN Construction	Шымкент	kz
macrosales	A1	OTAU Group	Шымкент	kz
macrosales	A1	Baqyt Group	Астана	kz
macrosales	A1	Elit Stroy group	Усть-Каменогорск	kz
macrosales	A1	Elit Qurylys group	Талдыкорган	kz
macrosales	A1	AULET Development Group	Шымкент	kz
macrosales	A1	KazSMU	Алматы	kz
macrosales	A1	Элитстрой	Алматы	kz
macrosales	A1	ЖК Баласагун	Тараз	kz
macrosales	A1	Assalom Estate	Ташкент	uz
macrosales	A1	Tushlar Vodiysi	Ташкент	uz
macrosales	A1	Human2Human	Ташкент	uz
macrosales	A1	Golden Lake	Ташкент	uz
macrosales	A1	ЖК Arkon	Ташкент	uz
macrosales	A1	JBA (Fazo Avenue)	Наманган	uz
macrosales	A1	DN STROY	Ташкент	uz
macrosales	A1	Нурзаман	Бишкек	kg
macrosales	A1	Beles Holding	Астана	kz
macrosales	A1	Saba Group	Алматы	kz
macrosales	A1	TUMAR Group	Астана	kz
macrosales	A1	Eman Development	Ташкент	uz
macrosales	A1	Salom Nurafshon	Ташкент	uz
macrosales	A1	Ulkan Development	Ташкент	uz
macrosales	A1	MIRVA GROUP	Алматы	kz
macrosales	A1	BINO Group	Ташкент	uz
macrosales	A1	SemeyCement Development	Семей	kz
macrosales	A1	Kerege Group	Шымкент	kz
macrosales	A1	Барыс Строй 2001	Алматы	kz
macrosales	A2	Dream Level	Ташкент	uz
macrosales	A2	Ferrum Co.	Астана	kz
macrosales	A2	El Invest	Астана	kz
macrosales	A2	Uzbegim Development	Ташкент	uz
macrosales	A2	SMR-EURASIA	Алматы	kz
macrosales	A2	MARSALES	Алматы	kz
macrosales	A3	Centris Towers (Metro Plaza)	Ташкент	uz
macrosales	A3	BOMI UZBEKISTAN FE	Ташкент	uz
macrosales	A3	Immeuble Moderns	Ташкент	uz
macrosales	A3	Darkhan Avenue	Ташкент	uz
macrosales	A3	Фидокор	Ташкент	uz
